"HAUL_ID","OPERATION_ID","CRUISE_ID","CRUISE_LEG_ID","HAUL","STRATUM_ID","STATION_ID","NET_NUMBER","FOOTROPE_NUMBER","PORT_DOOR_NUMBER","STARBOARD_DOOR_NUMBER","SKIPPER_PERSONNEL_ID","AUTOTRAWL_METHOD","HAUL_TYPE","PERFORMANCE","BOTTOM_TYPE","BOTTOM_TYPE_METHOD","STEEPNESS","STEEPNESS_METHOD","START_TIMELOG","END_TIMELOG","DISTANCE_FISHED","DISTANCE_FISHED_METHOD","DOOR_SPREAD","DOOR_SPREAD_METHOD","DOOR_SPREAD_PINGS","DOOR_SPREAD_STANDARD_DEVIATION","NET_SPREAD","NET_SPREAD_METHOD","NET_SPREAD_PINGS","NET_SPREAD_STANDARD_DEVIATION","NET_HEIGHT","NET_HEIGHT_METHOD","NET_HEIGHT_PINGS","NET_HEIGHT_STANDARD_DEVIATION","GEAR_DEPTH","GEAR_DEPTH_METHOD","BOTTOM_DEPTH","BOTTOM_DEPTH_METHOD","WIRE_OUT","WIRE_OUT_METHOD","GEAR","ACCESSORIES","BOTTOM_CONTACT_METHOD","SURFACE_TEMPERATURE","SURFACE_TEMPERATURE_METHOD","GEAR_TEMPERATURE","GEAR_TEMPERATURE_METHOD","WIND_SPEED","WIND_SPEED_METHOD","WIND_DIRECTION","WIND_DIRECTION_METHOD","WAVE_HEIGHT","WAVE_HEIGHT_METHOD","WAVE_DIRECTION","WAVE_DIRECTION_METHOD","SWELL_HEIGHT","SWELL_HEIGHT_METHOD","SWELL_DIRECTION","SWELL_DIRECTION_METHOD","CURRENT_SPEED","CURRENT_SPEED_METHOD","CURRENT_DIRECTION","CURRENT_DIRECTION_METHOD","RECORDER_PERSONNEL_ID","TIME_ZONE","TOTAL_HAUL_WEIGHT","HAUL_CATCH_SAMPLE_METHOD","SPEED_METHOD","STRATUM","STATION","EDIT_DISTANCE_FISHED","EDIT_DISTANCE_FISHED_UNITS","EDIT_DOOR_SPREAD","EDIT_DOOR_SPREAD_UNITS","EDIT_NET_SPREAD","EDIT_NET_SPREAD_UNITS","EDIT_NET_HEIGHT","EDIT_NET_HEIGHT_UNITS","EDIT_GEAR_DEPTH","EDIT_GEAR_DEPTH_UNITS","EDIT_BOTTOM_DEPTH","EDIT_BOTTOM_DEPTH_UNITS","EDIT_WIRE_OUT","EDIT_WIRE_OUT_UNITS","EDIT_SURFACE_TEMPERATURE","EDIT_SURFACE_TEMPERATURE_UNITS","EDIT_GEAR_TEMPERATURE","EDIT_GEAR_TEMPERATURE_UNITS","EDIT_WIND_SPEED","EDIT_WIND_SPEED_UNITS","EDIT_WAVE_HEIGHT","EDIT_WAVE_HEIGHT_UNITS","EDIT_SWELL_HEIGHT","EDIT_SWELL_HEIGHT_UNITS","EDIT_CURRENT_SPEED","EDIT_CURRENT_SPEED_UNITS","EDIT_TOTAL_HAUL_WEIGHT_UNITS","EDIT_TOTAL_HAUL_WEIGHT","DATA_VERSION","CREATE_DATE","CREATED_BY","LOAD_ID","RECORD_SOURCE_ID","DAY_NIGHT_FLAG","TARGET_DEPTH","EDIT_TARGET_DEPTH","EDIT_TARGET_DEPTH_UNITS","DURATION","EDIT_DURATION","EDIT_DURATION_UNITS","ORIGINAL_RECORD_ID","RECORDERS_NAME","ABUNDANCE_HAUL"
20105,,751,519,2,,,20,20,2130,2130,929,,1,-5.42,,,,,3,7,0.925,1,,,,,18.2443,4,0,0,1.503,6,451,0.13,66,4,68,5,228.6,5,44,15,5,6.53,14,4.75,6,15,4,30,2,2,2,30,2,3,2,30,2,,,,,,-8,,1,11,31,"D-09",0.925,"KM",,"",18.2443,"M",1.503,"M",66,"M",68,"M",125,"FM",6.53,"C",4.75,"C",15,"KT",2,"FT",3,"FT",,"","",,2017.1,30-MAY-21,"Britt, Lyle",1517,11,"",,,"",,,"",12354,"Britt, Lyle","N"
19852,,751,519,3,,,20,20,2130,2130,929,,3,0,,,,,3,7,2.754,1,,,,,14.8798,4,0,0,2.69,4,0,0,37,4,37,5,137.16,5,44,15,5,5.23,14,5.27,6,15,4,60,2,1,2,60,2,2,2,60,2,,,,,,-8,1108,2,11,10,"F-14",2.754,"KM",,"",14.8798,"M",2.69,"M",37,"M",37,"M",75,"FM",5.23,"C",5.27,"C",15,"KT",1,"FT",2,"FT",,"","KG",1108,2017.1,31-MAY-21,"Britt, Lyle",1436,11,"",,,"",,,"",12355,"Britt, Lyle","Y"
20472,,751,521,186,,,19,19,2130,2130,929,,3,0,,,,,3,7,2.894,1,,,,,18.7701,4,2,1.63,2.209,6,34,0.36,127,4,129,5,411.48,5,44,15,5,9.44,14,1.91,6,10,4,120,2,4,2,120,2,4,2,120,2,,,,,,-8,,1,11,61,"R-30",2.894,"KM",,"",18.7701,"M",2.209,"M",127,"M",129,"M",225,"FM",9.44,"C",1.91,"C",10,"KT",4,"FT",4,"FT",,"","",,2017.1,19-JUL-21,"Yeung, Cynthia",1493,11,"",,,"",,,"",12538,"Yeung, Cynthia","Y"
20471,,751,521,185,,,19,19,2130,2130,929,,3,0,,,,,3,7,2.825,1,,,,,18.7358,4,0,0,2.122,6,118,0.26,134,4,136,5,411.48,5,44,15,5,8.97,14,1.65,6,20,4,180,2,6,2,180,2,8,2,180,2,,,,,,-8,,1,11,61,"Q-30",2.825,"KM",,"",18.7358,"M",2.122,"M",134,"M",136,"M",225,"FM",8.97,"C",1.65,"C",20,"KT",6,"FT",8,"FT",,"","",,2017.1,19-JUL-21,"Yeung, Cynthia",1493,11,"",,,"",,,"",12537,"Yeung, Cynthia","Y"
19889,,751,519,22,,,20,20,2130,2130,929,,3,0,,,,,3,7,1.42,1,,,,,18.3888,4,11,0.24,2.23,6,101,0.12,89,4,91,5,320.04,5,44,15,5,7.13,14,3.66,6,15,4,220,2,2,2,220,2,3,2,220,2,,,,,,-8,,1,11,31,"F-11",1.42,"KM",,"",18.3888,"M",2.23,"M",89,"M",91,"M",175,"FM",7.13,"C",3.66,"C",15,"KT",2,"FT",3,"FT",,"","",,2017.1,04-JUN-21,"Britt, Lyle",1439,11,"",,,"",,,"",12374,"Britt, Lyle","Y"
19906,,751,519,39,,,14,14,2130,2130,929,,3,0,,,,,3,7,2.79,1,,,,,18.1101,4,14,0.81,2.18,4,0,0,72,4,72,5,274.32,5,44,15,5,6.3,14,3.06,6,15,4,210,2,3,2,210,2,6,2,210,2,,,,,,-8,,1,11,31,"F-07",2.79,"KM",,"",18.1101,"M",2.18,"M",72,"M",72,"M",150,"FM",6.3,"C",3.06,"C",15,"KT",3,"FT",6,"FT",,"","",,2017.1,07-JUN-21,"Britt, Lyle",1443,11,"",,,"",,,"",12391,"Britt, Lyle","Y"
19907,,751,519,40,,,14,14,2130,2130,929,,3,0,,,,,3,7,2.83,1,,,,,18.1034,4,4,1.83,2.2,6,458,0.16,84,4,86,5,274.32,5,44,15,5,6.34,14,2.9,6,15,4,220,2,2,2,220,2,6,2,220,2,,,,,,-8,,1,11,31,"E-07",2.83,"KM",,"",18.1034,"M",2.2,"M",84,"M",86,"M",150,"FM",6.34,"C",2.9,"C",15,"KT",2,"FT",6,"FT",,"","",,2017.1,08-JUN-21,"Britt, Lyle",1443,11,"",,,"",,,"",12392,"Britt, Lyle","Y"
19949,,751,519,62,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.899,1,,,,,15.6026,4,0,0,2.403,6,831,0.17,25,4,27,5,137.16,5,44,15,5,3.29,14,3.31,6,15,4,200,2,1,2,200,2,4,2,200,2,,,,,,-8,960,2,11,20,"N-03",2.899,"KM",,"",15.6026,"M",2.403,"M",25,"M",27,"M",75,"FM",3.29,"C",3.31,"C",15,"KT",1,"FT",4,"FT",,"","KG",960,2017.1,13-JUN-21,"Britt, Lyle",1450,11,"",,,"",,,"",12414,"Britt, Lyle","Y"
19979,,751,519,71,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.885,1,,,,,18.4012,4,5,0.38,1.6,6,195,0.14,90,4,92,5,320.04,5,44,15,5,6.96,14,3.38,6,10,4,180,2,3,2,180,2,5,2,180,2,,,,,,-8,1816,2,11,31,"E-04",2.885,"KM",,"",18.4012,"M",1.6,"M",90,"M",92,"M",175,"FM",6.96,"C",3.38,"C",10,"KT",3,"FT",5,"FT",,"","KG",1816,2017.1,14-JUN-21,"Britt, Lyle",1452,11,"",,,"",,,"",12423,"Britt, Lyle","Y"
19981,,751,519,73,,,17,17,2130,2130,929,,3,0,,,,,3,7,2.899,1,,,,,18.5018,4,9,0.7,1.728,6,488,0.32,116,4,118,5,365.76,5,44,15,5,6.86,14,4.37,6,10,4,150,2,1,2,150,2,4,2,180,2,,,,,,-8,,1,11,50,"C-04",2.899,"KM",,"",18.5018,"M",1.728,"M",116,"M",118,"M",200,"FM",6.86,"C",4.37,"C",10,"KT",1,"FT",4,"FT",,"","",,2017.1,15-JUN-21,"Britt, Lyle",1453,11,"",,,"",,,"",12425,"Britt, Lyle","Y"
