HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
59,36,2,260,1,10,VEST2
59,36,2,230,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,290,1,10,VEST2
59,36,2,260,1,10,VEST2
59,36,2,610,1,10,VEST2
59,36,2,430,1,10,VEST2
59,36,2,590,1,10,VEST2
59,36,2,210,1,10,VEST2
59,36,2,260,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,310,1,10,VEST2
59,36,2,260,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,790,1,10,VEST2
59,36,2,670,1,10,VEST2
59,36,2,810,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,210,1,10,VEST2
59,36,2,210,1,10,VEST2
59,36,2,190,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,740,1,10,VEST2
59,36,2,250,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,350,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,260,1,10,VEST2
59,36,2,270,1,10,VEST2
59,36,2,270,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,260,1,10,VEST2
59,36,2,150,1,10,VEST2
59,36,2,220,1,10,VEST2
59,36,2,250,1,10,VEST2
59,36,2,240,1,10,VEST2
59,36,2,160,1,10,VEST2
59,36,1,210,1,10,VEST2
59,36,1,260,1,10,VEST2
59,36,1,220,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,170,1,10,VEST2
59,36,1,300,1,10,VEST2
59,36,1,340,1,10,VEST2
59,36,1,290,1,10,VEST2
59,36,1,270,1,10,VEST2
59,36,1,210,1,10,VEST2
59,36,1,440,1,10,VEST2
59,36,1,640,1,10,VEST2
59,36,1,200,1,10,VEST2
59,36,1,230,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,210,1,10,VEST2
59,36,1,290,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,250,1,10,VEST2
59,36,1,250,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,210,1,10,VEST2
59,36,1,240,1,10,VEST2
59,36,1,250,1,10,VEST2
59,36,1,210,1,10,VEST2
59,36,1,230,1,10,VEST2
59,36,1,230,1,10,VEST2
59,36,1,260,1,10,VEST2
59,36,1,270,1,10,VEST2
59,36,1,290,1,10,VEST2
59,36,1,260,1,10,VEST2
59,36,1,250,1,10,VEST2
59,36,1,280,1,10,VEST2
59,36,1,190,1,10,VEST2
59,36,1,190,1,10,VEST2
59,36,1,530,1,10,VEST2
59,40,1,540,1,10,VEST2
59,40,1,500,1,10,VEST2
59,40,1,570,1,10,VEST2
59,40,1,590,1,10,VEST2
59,40,1,510,1,10,VEST2
59,40,1,540,1,10,VEST2
59,40,1,510,1,10,VEST2
59,40,1,590,1,10,VEST2
59,40,1,520,1,10,VEST2
59,40,1,550,1,10,VEST2
59,40,1,530,1,10,VEST2
59,40,1,500,1,10,VEST2
59,40,1,270,1,10,VEST2
59,40,1,160,1,10,VEST2
59,40,1,160,1,10,VEST2
59,40,1,170,1,10,VEST2
