SPECIES_CODE,SPECIES_NAME,NONSUB_WEIGHT,SUBSAMPLE_WEIGHT,SUBSAMPLE_NUMBERS,SAMPLED_ALL,VOUCHER_NUMBER
471,"Bathyraja parmifera",, 81.000,,"Y",
10140,"Hippoglossoides robustus",,  0.225,,"N",
10210,"Limanda aspera", 12.820, 26.880,,"N",
10261,"Lepidopsetta polyxystra", 11.640,  9.560,,"N",
10285,"Pleuronectes quadrituberculatus", 32.080, 86.140,,"N",
20040,"Podothecus accipenserinus",,  0.125,2,"N",
21110,"Clupea pallasii",,  1.120,11,"N",
21370,"Myoxocephalus polyacanthocephalus",,  1.300,,"Y",
21371,"Myoxocephalus jaok",, 41.860,,"Y",
21720,"Gadus macrocephalus", 33.835, 85.605,,"Y",
21735,"Eleginus gracilis",,  2.445,,"N",
21740,"Gadus chalcogrammus",, 50.135,,"N",
21932,"Hexagrammos stelleri",,  0.090,1,"N",
23041,"Mallotus villosus",,  0.045,2,"N",
40504,"Chrysaora melanaster",,  9.190,19,"N",
80590,"Leptasterias polaris",,  0.235,1,"N",
80594,"Leptasterias arctica",  4.620,  0.720,50,"N",
81742,"Asterias amurensis",196.680, 17.160,50,"N",
83020,"Gorgonocephalus eucnemis",,  0.420,2,"N",
,"Mix, SHAB Mix 1",180.720,,,"N",
66502,"Crangon sp.",,  0.002,1,"Y",
68577,"Hyas coarctatus",,  0.225,9,"Y",
69061,"Labidochirus splendescens",,  0.040,1,"Y",
69086,"Pagurus trigonocheirus",,  5.550,65,"Y",
69120,"Pagurus capillatus",,  0.455,4,"Y",
71001,"gastropod egg",,  0.315,,"Y",
71731,"Colus halli",,  0.010,1,"Y",
71882,"Neptunea ventricosa",,  0.890,8,"Y",
71884,"Neptunea heros",,  5.890,41,"Y",
72743,"Buccinum angulosum",,  0.010,2,"Y",
72755,"Buccinum polare",,  0.090,3,"Y",
75111,"Mactromeris polynyma",,  0.330,3,"Y",
99991,"empty barnacle shells",,,,"Y",
99993,"empty bivalve shells",,  0.515,,"Y",
99994,"empty gastropod shells",,  0.500,,"Y",
