HAUL,BIOSTRATUM,SPECIES_CODE,SEX,LENGTH,WEIGHT,SPECIMEN_NUMBER,MATURITY_CODE,SUBSAMPLE_TYPE,AGE_STRUCTURE,MATURITY_TABLE,GONAD_WEIGHT,SPECIAL_STUDY_1,SPECIAL_STUDY_2,ENTRY_ORDER
59,,10210,1,280,300,199,,6,1,,,,,946
59,,10210,1,270,195,200,,6,1,,,,,947
59,,10210,1,360,485,201,,6,1,,,,,948
59,,10210,2,350,505,202,,6,1,,,,,949
59,,10210,2,370,555,203,,6,1,,,,,950
59,,10210,2,270,235,204,,6,1,,,,,951
59,,10210,2,290,280,205,,6,1,,,,,952
59,,10210,2,310,315,206,,6,1,,,,,953
59,,10210,2,360,455,207,,6,1,,,,,954
59,,10210,2,320,405,208,,6,1,,,,,955
59,,10210,2,280,265,209,,6,1,,,,,956
59,,10210,2,380,685,210,,6,1,,,,,957
59,,10210,2,210,95,211,,6,1,,,,,958
59,,21720,1,370,490,189,,1,1,,,,,939
59,,21720,1,640,3290,190,,1,1,,,,,940
59,,21720,2,400,730,191,,1,1,,,,,941
59,,21720,2,220,75,192,,1,1,,,,,942
59,,21740,1,530,960,139,,1,1,,,,,943
59,,21740,2,520,840,140,,1,1,,,,,944
59,,21740,2,530,875,141,,1,1,,,,,945
