HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
8,18,1,380,1,10,S04
8,18,1,400,1,10,S04
8,18,1,330,1,10,S04
8,81,2,330,1,10,S04
8,58,2,330,1,10,S04
8,58,2,390,1,10,S04
8,58,1,340,1,10,S04
8,58,1,360,1,10,S04
8,58,1,210,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,1,320,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,310,1,10,S04
8,58,1,350,1,10,S04
8,58,1,350,1,10,S04
8,58,1,320,1,10,S04
8,58,1,330,1,10,S04
8,58,1,290,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,320,1,10,S04
8,58,1,380,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,1,350,1,10,S04
8,58,1,370,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,1,320,1,10,S04
8,58,1,350,1,10,S04
8,58,1,380,1,10,S04
8,58,1,350,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,350,1,10,S04
8,58,1,360,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,1,320,1,10,S04
8,58,1,320,1,10,S04
8,58,1,360,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,350,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,1,340,1,10,S04
8,58,1,360,1,10,S04
8,58,1,320,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,330,1,10,S04
8,58,1,330,1,10,S04
8,58,1,350,1,10,S04
8,58,1,330,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,340,1,10,S04
8,58,1,350,1,10,S04
8,58,1,320,1,10,S04
8,58,1,340,1,10,S04
8,58,1,320,1,10,S04
8,58,2,340,1,10,S04
8,58,2,330,1,10,S04
8,58,2,340,1,10,S04
8,58,2,370,1,10,S04
8,58,2,330,1,10,S04
8,58,2,330,1,10,S04
8,58,2,330,1,10,S04
8,58,2,340,1,10,S04
8,58,2,340,1,10,S04
8,58,2,360,1,10,S04
8,58,2,340,1,10,S04
8,58,2,340,1,10,S04
8,58,2,360,1,10,S04
8,58,2,330,1,10,S04
8,58,2,350,1,10,S04
8,58,2,360,1,10,S04
8,58,2,350,1,10,S04
8,58,2,330,1,10,S04
8,58,2,350,1,10,S04
8,58,2,350,1,10,S04
8,58,2,330,1,10,S04
