SPECIES_CODE,SPECIES_NAME,NONSUB_WEIGHT,SUBSAMPLE_WEIGHT,SUBSAMPLE_NUMBERS,SAMPLED_ALL,VOUCHER_NUMBER
401,"skate egg case unid.",,  0.025,1,"Y",
10110,"arrowtooth flounder",,  3.960,,"Y",
10130,"flathead sole",,  0.717,,"Y",
10150,"slender sole",,  0.078,,"Y",
10200,"rex sole",, 40.220,,"Y",
10262,"southern rock sole",,  2.240,,"Y",
10270,"butter sole",,  0.354,,"Y",
20510,"sablefish",, 19.120,,"Y",
21240,"Malacocephalus laevis",,0.7,,"Y",
21341,"darkfin sculpin",,  0.608,4,"Y",
21740,"walleye pollock",,  4.420,,"Y",
30020,"shortspine thornyhead",  1.569, 28.220,,"Y",
30060,"Pacific ocean perch", 24.386,116.652,,"Y",
30152,"dusky rockfish",,  1.307,,"Y",
30420,"northern rockfish",,  0.485,,"Y",
40011,"hydroid unid.",,  0.004,,"Y",
43001,"reticulate anemone",,  0.511,16,"Y",
44083,"Plumarella sp.",,  0.027,,"Y",
50000,"polychaete worm unid.",,  0.002,1,"Y",
74482,"vaginated limops",,  0.006,1,"Y",
79210,"magistrate armhook squid",,  5.388,,"Y",
83022,"Gorgonocephalus sp.",,  0.517,5,"Y",
91000,"sponge unid.",,  0.006,,"Y",
95038,"Alcyonidium sp.",,  0.010,,"Y",
