HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
59,29,2,340,1,10,VEST3
59,29,2,410,1,10,VEST3
59,29,2,300,1,10,VEST3
59,29,2,280,1,10,VEST3
59,29,2,470,1,10,VEST3
59,29,2,360,1,10,VEST3
59,29,2,380,1,10,VEST3
59,29,2,340,1,10,VEST3
59,29,2,310,1,10,VEST3
59,29,2,310,1,10,VEST3
59,29,2,270,1,10,VEST3
59,29,2,350,1,10,VEST3
59,29,2,310,1,10,VEST3
59,29,2,270,1,10,VEST3
59,29,1,320,1,10,VEST3
59,29,1,290,1,10,VEST3
59,29,1,330,1,10,VEST3
59,29,1,320,1,10,VEST3
59,29,1,360,1,10,VEST3
59,29,1,370,1,10,VEST3
59,29,1,280,1,10,VEST3
59,29,1,340,1,10,VEST3
59,29,1,300,1,10,VEST3
59,29,1,390,1,10,VEST3
59,29,1,330,1,10,VEST3
59,29,1,310,1,10,VEST3
59,29,1,290,1,10,VEST3
59,29,1,350,1,10,VEST3
59,29,1,300,1,10,VEST3
59,29,1,350,1,10,VEST3
59,29,1,350,1,10,VEST3
59,29,1,350,1,10,VEST3
59,29,1,340,1,10,VEST3
59,29,1,320,1,10,VEST3
59,29,1,280,1,10,VEST3
59,29,1,330,1,10,VEST3
59,29,1,270,1,10,VEST3
59,29,1,380,1,10,VEST3
59,29,1,370,1,10,VEST3
59,29,1,320,1,10,VEST3
59,29,1,290,1,10,VEST3
59,29,1,320,1,10,VEST3
59,29,1,340,1,10,VEST3
59,29,1,370,1,10,VEST3
59,29,1,340,1,10,VEST3
59,29,1,380,1,10,VEST3
59,29,1,310,1,10,VEST3
59,29,1,380,1,10,VEST3
59,29,1,360,1,10,VEST3
59,29,1,350,1,10,VEST3
59,29,1,270,1,10,VEST3
59,29,1,260,1,10,VEST3
59,36,2,610,1,10,VEST3
59,36,2,810,1,10,VEST3
59,36,2,610,1,10,VEST3
59,36,2,220,1,10,VEST3
59,36,2,830,1,10,VEST3
59,36,2,230,1,10,VEST3
59,36,2,270,1,10,VEST3
59,36,2,270,1,10,VEST3
59,36,2,210,1,10,VEST3
59,36,2,310,1,10,VEST3
59,36,2,240,1,10,VEST3
59,36,2,260,1,10,VEST3
59,36,2,210,1,10,VEST3
59,36,2,210,1,10,VEST3
59,36,2,190,1,10,VEST3
59,36,2,210,1,10,VEST3
59,36,2,270,1,10,VEST3
59,36,2,230,1,10,VEST3
59,36,2,220,1,10,VEST3
59,36,2,220,1,10,VEST3
59,36,2,270,1,10,VEST3
59,36,1,580,1,10,VEST3
59,36,1,840,1,10,VEST3
59,36,1,570,1,10,VEST3
59,36,1,220,1,10,VEST3
59,36,1,270,1,10,VEST3
59,36,1,240,1,10,VEST3
59,36,1,280,1,10,VEST3
59,36,1,230,1,10,VEST3
59,36,1,260,1,10,VEST3
59,36,1,200,1,10,VEST3
59,36,1,280,1,10,VEST3
59,36,1,210,1,10,VEST3
59,36,1,240,1,10,VEST3
59,36,1,270,1,10,VEST3
59,36,1,280,1,10,VEST3
59,36,1,270,1,10,VEST3
59,36,1,260,1,10,VEST3
59,36,1,220,1,10,VEST3
59,36,1,240,1,10,VEST3
59,36,1,240,1,10,VEST3
59,36,1,670,1,10,VEST3
59,36,1,270,1,10,VEST3
59,36,1,250,1,10,VEST3
59,36,1,190,1,10,VEST3
59,29,2,390,1,10,VEST3
59,29,2,340,1,10,VEST3
59,29,2,420,1,10,VEST3
59,29,2,360,1,10,VEST3
59,29,2,340,1,10,VEST3
59,29,2,390,1,10,VEST3
59,29,2,420,1,10,VEST3
59,29,2,480,1,10,VEST3
59,29,2,340,1,10,VEST3
59,29,2,380,1,10,VEST3
59,29,2,300,1,10,VEST3
