ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
10012,55,94,201901,59,"CM",10210,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:27"
10013,55,94,201901,59,"CM",10210,1,25,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:29"
10014,55,94,201901,59,"CM",10210,1,28,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:31"
10015,55,94,201901,59,"CM",10210,1,22,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:32"
10016,55,94,201901,59,"CM",10210,1,34,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:33"
10017,55,94,201901,59,"CM",10210,1,28,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:35"
10018,55,94,201901,59,"CM",10210,1,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:36"
10019,55,94,201901,59,"CM",10210,1,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:37"
10020,55,94,201901,59,"CM",10210,1,34,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:39"
10021,55,94,201901,59,"CM",10210,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:40"
10022,55,94,201901,59,"CM",10210,1,33,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:43"
10023,55,94,201901,59,"CM",10210,1,32,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:44"
10024,55,94,201901,59,"CM",10210,1,31,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:46"
10025,55,94,201901,59,"CM",10210,1,34,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:53:48"
