HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
40,36,1,760,1,10,VESTERAALEN 4
40,36,1,430,1,10,VESTERAALEN 4
40,36,1,760,1,10,VESTERAALEN 4
40,36,1,730,1,10,VESTERAALEN 4
40,36,1,840,1,10,VESTERAALEN 4
40,36,1,800,1,10,VESTERAALEN 4
40,36,1,760,1,10,VESTERAALEN 4
40,36,1,290,1,10,VESTERAALEN 4
40,36,1,220,1,10,VESTERAALEN 4
40,36,1,840,1,10,VESTERAALEN 4
40,36,1,840,1,10,VESTERAALEN 4
40,36,1,430,1,10,VESTERAALEN 4
40,36,1,250,1,10,VESTERAALEN 4
40,36,2,710,1,10,VESTERAALEN 4
40,36,2,790,1,10,VESTERAALEN 4
40,36,2,460,1,10,VESTERAALEN 4
40,36,2,700,1,10,VESTERAALEN 4
40,36,2,530,1,10,VESTERAALEN 4
40,36,2,570,1,10,VESTERAALEN 4
40,36,2,190,1,10,VESTERAALEN 4
40,36,2,220,1,10,VESTERAALEN 4
40,36,2,200,1,10,VESTERAALEN 4
40,36,2,540,1,10,VESTERAALEN 4
40,36,2,410,1,10,VESTERAALEN 4
40,8,2,400,1,10,VESTERAALEN 4
40,8,2,350,1,10,VESTERAALEN 4
40,8,2,430,1,10,VESTERAALEN 4
40,8,2,440,1,10,VESTERAALEN 4
40,8,2,450,1,10,VESTERAALEN 4
40,8,2,290,1,10,VESTERAALEN 4
40,8,2,460,1,10,VESTERAALEN 4
40,8,2,370,1,10,VESTERAALEN 4
40,8,2,430,1,10,VESTERAALEN 4
40,8,2,420,1,10,VESTERAALEN 4
40,8,2,330,1,10,VESTERAALEN 4
40,8,2,450,1,10,VESTERAALEN 4
40,8,2,300,1,10,VESTERAALEN 4
40,8,2,370,1,10,VESTERAALEN 4
40,8,2,480,1,10,VESTERAALEN 4
40,8,2,550,1,10,VESTERAALEN 4
40,8,2,490,1,10,VESTERAALEN 4
40,8,2,430,1,10,VESTERAALEN 4
40,8,2,410,1,10,VESTERAALEN 4
40,8,2,490,1,10,VESTERAALEN 4
40,8,2,580,1,10,VESTERAALEN 4
40,8,1,370,1,10,VESTERAALEN 4
40,8,1,280,1,10,VESTERAALEN 4
40,8,1,300,1,10,VESTERAALEN 4
40,8,1,450,1,10,VESTERAALEN 4
40,8,1,380,1,10,VESTERAALEN 4
40,8,1,280,1,10,VESTERAALEN 4
40,29,1,380,1,10,VESTERAALEN 4
40,29,1,290,1,10,VESTERAALEN 4
40,29,1,380,1,10,VESTERAALEN 4
40,29,1,340,1,10,VESTERAALEN 4
