HAUL,POLY_SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,POLY_NUMBER,TABLET_ID
40,11,1,740,1,10,VESTERAALEN 3
40,11,3,680,1,10,VESTERAALEN 3
40,5,2,1060,5,10,VESTERAALEN 3
40,5,2,1020,5,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,290,1,10,VESTERAALEN 3
40,19,2,310,1,10,VESTERAALEN 3
40,19,2,250,1,10,VESTERAALEN 3
40,19,2,300,1,10,VESTERAALEN 3
40,19,2,350,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,280,1,10,VESTERAALEN 3
40,19,2,360,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,280,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,300,1,10,VESTERAALEN 3
40,19,2,290,1,10,VESTERAALEN 3
40,19,2,310,1,10,VESTERAALEN 3
40,19,2,330,1,10,VESTERAALEN 3
40,19,2,330,1,10,VESTERAALEN 3
40,19,2,360,1,10,VESTERAALEN 3
40,19,2,270,1,10,VESTERAALEN 3
40,19,2,200,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,350,1,10,VESTERAALEN 3
40,19,2,290,1,10,VESTERAALEN 3
40,19,2,300,1,10,VESTERAALEN 3
40,19,2,300,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,320,1,10,VESTERAALEN 3
40,19,2,350,1,10,VESTERAALEN 3
40,19,2,280,1,10,VESTERAALEN 3
40,19,2,260,1,10,VESTERAALEN 3
40,19,2,270,1,10,VESTERAALEN 3
40,19,2,270,1,10,VESTERAALEN 3
40,19,2,340,1,10,VESTERAALEN 3
40,19,2,270,1,10,VESTERAALEN 3
40,19,2,310,1,10,VESTERAALEN 3
40,19,2,370,1,10,VESTERAALEN 3
40,19,2,270,1,10,VESTERAALEN 3
40,19,2,280,1,10,VESTERAALEN 3
