SPECIES_CODE,SPECIES_NAME,NONSUB_WEIGHT,SUBSAMPLE_WEIGHT,SUBSAMPLE_NUMBERS,SAMPLED_ALL,VOUCHER_NUMBER
471,"Alaska skate",, 21.160,,"Y",
10110,"arrowtooth flounder",, 19.700,,"N",
10112,"Atheresthes evermanni",,  0.560,,"N",
10120,"Pacific halibut",,,,"Y",
10130,"Hippoglossoides elassodon",, 22.580,,"N",
10210,"yellowfin sole", 56.280, 25.800,,"N",
10221,"hybrid starry flounder X Alaska plaice",,,,"N",
10261,"northern rock sole", 29.560,  4.860,,"N",
10285,"Alaska plaice",,  9.680,,"N",
20040,"Podothecus accipenserinus",,  0.705,20,"N",
21370,"Myoxocephalus polyacanthocephalus",, 20.720,,"Y",
21720,"Pacific cod",, 77.840,,"Y",
21740,"walleye pollock",, 58.640,,"N",
40500,"jellyfish unid.",,,,"N",
40504,"Chrysaora melanaster",199.400, 10.800,25,"N",
40561,"Cyanea capillata",,,,"N",
43000,"sea anemone unid.",,  0.220,2,"N",
56311,"Eunoe nodosa",,  0.255,1,"N",
68578,"Hyas lyratus",,  0.095,1,"N",
69061,"Labidochirus splendescens",,  0.050,1,"N",
69086,"Pagurus trigonocheirus",,  0.585,5,"N",
69090,"Pagurus ochotensis",,  1.420,20,"N",
69120,"Pagurus capillatus",,  0.170,1,"N",
71001,"snail  egg",,  0.045,,"N",
71820,"Neptunea pribiloffensis",,  6.435,37,"N",
71882,"Neptunea ventricosa",,  3.095,21,"N",
71884,"Neptunea heros",,  3.925,23,"N",
75285,"Serripes groenlandicus",,  0.750,1,"N",
81742,"purple-orange sea star", 16.050,  3.980,50,"N",
83020,"Gorgonocephalus eucnemis",,  3.920,27,"N",
91000,"sponge unid.",,  0.335,,"N",
98105,"Boltenia ovifera",,  0.315,,"N",
99993,"empty bivalve shells",,  2.710,,"N",
