ID,CATCH_SAMPLE_VALUE_ID,CATCH_SAMPLE_ID,SAMPLE_VALUE_UNITS,SAMPLE_VALUE_WEIGHT,SAMPLE_VALUE_WEIGHT_UNITS,SAMPLE_VALUE_COUNT,SAMPLE_VALUE_UNITS_COUNT,KEEP_FLAG,DATABASE_STATUS,RECORDING_DEVICE,STATUS_TIMESTAMP,RECORDER,RECORD_TIMESTAMP
15081,15081,8616,"BSK",16.28,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:18","Dawson, Liz","08/15/2019 09:10:18"
15082,15082,8616,"BSK",30.22,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:25","Dawson, Liz","08/15/2019 09:10:25"
15083,15083,8616,"BSK",13.48,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:31","Dawson, Liz","08/15/2019 09:10:31"
15084,15084,8617,"BSK",19.73,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:44","Dawson, Liz","08/15/2019 09:10:44"
15085,15085,8616,"BSK",26.34,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:52","Dawson, Liz","08/15/2019 09:10:52"
15086,15086,8617,"BSK",30.34,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:10:59","Dawson, Liz","08/15/2019 09:10:59"
15087,15087,8618,"BSK",29.88,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:11:10","Dawson, Liz","08/15/2019 09:11:10"
15088,15088,8618,"BSK",28.56,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:11:14","Dawson, Liz","08/15/2019 09:11:14"
15089,15089,8618,"BSK",27.7,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:11:24","Dawson, Liz","08/15/2019 09:11:24"
15090,15090,8619,"BSK",20.62,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:11:43","Dawson, Liz","08/15/2019 09:11:43"
15091,15091,8619,"BSK",26.58,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:11:54","Dawson, Liz","08/15/2019 09:11:54"
15092,15092,8620,"BSK",36.74,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:12:16","Dawson, Liz","08/15/2019 09:12:16"
15093,15093,8621,"BSK",26.88,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:12:23","Dawson, Liz","08/15/2019 09:12:23"
15094,15094,8621,"BSK",12.82,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:12:34","Dawson, Liz","08/15/2019 09:12:34"
15095,15095,8622,"BSK",1.3,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:12:46","Dawson, Liz","08/15/2019 09:12:46"
15096,15096,8620,"BSK",5.12,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:12:55","Dawson, Liz","08/15/2019 09:12:55"
15097,15097,8616,"BSK",33.62,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:13:17","Dawson, Liz","08/15/2019 09:13:17"
15098,15098,8623,"BSK",9.56,"KG",,1,1,0,"fce7e11b983fefbb","08/15/2019 09:13:48","Dawson, Liz","08/15/2019 09:13:48"
15099,15099,8623,"BSK",11.64,"KG",,1,0,0,"fce7e11b983fefbb","08/15/2019 09:14:00","Dawson, Liz","08/15/2019 09:14:00"
