ID,SURVEY_SPECIMEN_COLLECTION_ID,HAUL_ID,SPECIMEN_NUMBER,SEX,LENGTH,LENGTH_UNITS,WEIGHT,WEIGHT_UNITS,MATURITY,GONAD_COLLECTED,GONAD_WEIGHT,GONAD_WEIGHT_UNITS,COMMENTS,RECORDING_DEVICE,CREATE_DATE,CREATED_BY
939,415,53,189,1,37,"CM",490,"G",,,,,,"70407a5dd4e387cc","06/15/2019 10:56:22","Dawson, Liz"
940,415,53,190,1,64,"CM",3290,"G",,,,,,"70407a5dd4e387cc","06/15/2019 10:56:48","Dawson, Liz"
941,415,53,191,2,40,"CM",730,"G",,,,,,"70407a5dd4e387cc","06/15/2019 10:57:17","Dawson, Liz"
942,415,53,192,2,22,"CM",75,"G",,,,,,"70407a5dd4e387cc","06/15/2019 10:57:48","Dawson, Liz"
943,416,53,139,1,53,"CM",960,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:00:59","Dawson, Liz"
944,416,53,140,2,52,"CM",840,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:01:18","Dawson, Liz"
945,416,53,141,2,53,"CM",875,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:01:31","Dawson, Liz"
946,417,53,199,1,28,"CM",300,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:03:13","Dawson, Liz"
947,417,53,200,1,27,"CM",195,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:03:55","Dawson, Liz"
948,417,53,201,1,36,"CM",485,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:04:44","Dawson, Liz"
949,417,53,202,2,35,"CM",505,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:08:42","Dawson, Liz"
950,417,53,203,2,37,"CM",555,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:08:59","Dawson, Liz"
951,417,53,204,2,27,"CM",235,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:10:03","Dawson, Liz"
952,417,53,205,2,29,"CM",280,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:11:02","Dawson, Liz"
953,417,53,206,2,31,"CM",315,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:11:18","Dawson, Liz"
954,417,53,207,2,36,"CM",455,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:11:38","Dawson, Liz"
955,417,53,208,2,32,"CM",405,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:11:55","Dawson, Liz"
956,417,53,209,2,28,"CM",265,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:12:15","Dawson, Liz"
957,417,53,210,2,38,"CM",685,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:13:28","Dawson, Liz"
958,417,53,211,2,21,"CM",95,"G",,,,,,"70407a5dd4e387cc","06/15/2019 11:13:56","Dawson, Liz"
